rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
3.07 79.57 4.55 0.12787 0.00828 0.67 4.96 6.81 6.40 8.80 20.7 1.7 11.3 -0.0 -0.2 1.0 -0.0 0.05228
4.32 18.87 11.74 0.09099 0.01109 0.69 6.25 5.50 7.24 9.38 -90.8 -25.3 -7.9 -0.4 -1.2 -0.7 1.0 0.05260
2.48 26.51 11.63 0.12757 0.03708 0.42 6.65 7.64 6.92 9.22 -67.4 -101.9 32.9 -0.0 -4.9 1.4 0.1 0.05492
1.51 120.61 3.11 0.05316 0.01357 0.36 8.08 5.83 6.32 8.73 54.4 -17.6 -35.4 0.2 -1.0 -1.5 0.3 0.05575
7.76 140.77 7.23 0.10679 0.00429 0.76 0.28 7.90 6.79 8.90 3.2 15.6 -28.7 -0.1 0.8 -1.5 -0.0 0.04984
4.92 8.72 6.65 0.01026 0.02638 0.49 8.46 9.54 6.52 8.99 11.7 -45.6 -21.9 0.1 -1.2 -1.4 -0.0 0.04733
3.98 114.47 3.18 0.02105 0.02308 0.77 0.22 7.82 6.45 8.83 -5.5 140.8 -51.9 -0.3 6.7 -2.6 -1.7 0.04028
6.93 98.80 0.74 0.14261 0.00507 0.58 5.22 4.30 6.49 8.84 -38.6 -8.7 2.2 0.0 -0.2 -0.1 -0.0 0.04976
6.64 14.54 4.70 0.04023 0.00378 0.22 2.65 9.20 6.51 9.04 -38.8 13.0 -21.2 0.0 0.6 -1.1 -0.6 0.04815
0.47 144.73 9.61 0.09367 0.00485 0.19 6.02 0.49 6.63 8.92 -35.4 0.0 8.7 -0.1 0.0 0.5 0.3 0.04515
7.12 171.49 3.09 0.12636 0.02547 0.37 5.25 2.41 6.30 8.77 -43.2 -41.9 -48.1 -0.0 -2.1 -2.5 0.3 0.04240
6.90 91.12 12.85 0.13992 0.01160 0.74 7.39 8.70 7.01 9.34 -39.7 0.3 3.1 0.1 -0.0 0.2 0.5 0.05405
9.57 111.08 10.19 0.07595 0.02368 0.63 8.87 8.75 6.67 9.05 -45.7 15.5 -11.0 0.0 1.3 -1.3 -0.1 0.04996
8.19 74.41 13.80 0.00104 0.01838 0.91 3.63 6.46 7.64 9.78 -53.0 -49.9 35.5 0.0 -2.1 1.7 -0.7 0.04965
6.23 144.64 12.58 0.05045 0.00115 0.93 8.49 5.84 6.43 8.90 2.1 -2.2 2.1 -0.0 0.1 0.0 -0.3 0.04886
2.99 173.18 14.50 0.19728 0.01467 0.99 8.85 1.35 6.54 8.99 15.2 111.5 69.7 0.6 5.5 3.2 0.1 0.04831
