rail_zenith[°],  wind_angle[°],  wind_speed[m/s], acc_noise[m/s²], gyro_noise[m/s²], baro_noise[m/s²], wind_gust_x[m/s], wind_gust_y[m/s], end_burn[s], used_propellant[kg], apogee_error[m], Kalman error_x[m], Kalman error_y[m], Kalman error_z[m]
4.42 150.50 0.71 0.26405 0.00867 0.41 2.17 6.40 6.59 8.89 5.8 -19.3 -25.4 0.1 -0.8 -1.1 -0.5 0.04583
9.60 79.15 5.62 0.12808 0.04665 0.10 7.29 9.53 6.86 9.20 -47.7 -95.7 -72.6 -0.0 -4.5 -5.4 0.9 0.04796
6.47 74.43 9.94 0.16646 0.02743 0.55 4.72 3.34 6.91 9.26 -28.0 -29.2 179.1 -0.1 -1.8 9.3 -0.2 0.04154
7.92 58.19 0.30 0.02350 0.01555 0.81 9.82 8.06 6.71 9.00 -6.6 -24.8 6.6 -0.2 -1.1 -0.1 0.0 0.05306
7.98 78.90 8.86 0.07791 0.04587 0.71 1.96 5.44 6.96 9.30 -24.2 -253.0 -211.8 0.0 -11.3 -11.8 -0.2 0.05992
2.57 175.78 11.48 0.05712 0.03948 0.30 2.21 0.43 6.77 9.07 -12.7 -109.2 -39.7 -0.2 -5.5 -1.7 0.1 0.05351
7.91 70.83 14.70 0.00290 0.00078 0.13 4.49 2.19 7.58 9.80 -54.7 3.9 1.3 -0.0 0.5 -0.0 -0.1 0.04710
3.96 81.76 13.69 0.15549 0.02441 0.65 5.92 4.73 7.22 9.47 3.4 38.0 -37.7 -0.1 1.9 -1.3 -2.2 0.04511
1.83 163.10 12.87 0.08225 0.00455 0.56 0.10 3.58 6.84 9.20 -11.6 23.2 10.8 -0.1 1.3 0.7 -0.4 0.05785
3.44 115.02 9.89 0.05639 0.03318 0.53 4.61 2.24 6.82 9.07 -0.5 -193.6 19.6 0.1 -9.9 3.0 -1.2 0.04740
1.14 26.56 7.66 0.08120 0.04744 0.60 4.28 1.71 6.70 8.99 -25.1 122.1 -119.1 0.1 6.3 -7.0 0.8 0.02246
2.38 171.36 10.62 0.28377 0.00796 0.87 4.32 5.49 6.76 9.04 6.4 -2.1 -15.9 0.6 0.1 -0.9 -1.0 0.04414
5.93 150.85 14.98 0.01319 0.02361 0.37 4.79 9.67 6.87 9.19 -7.4 -35.0 14.6 -0.2 -1.9 0.5 -0.7 0.04286
8.15 30.91 3.84 0.17878 0.02570 0.08 3.92 9.93 6.92 9.23 -19.9 43.1 85.6 -0.0 2.2 4.5 0.1 0.02803
